piede
311
319
321
322
319
319
318
321
333
328
331
331
330
324
321
325
326
322
322
321
325
327
330
334
332
335
339
337
333
333
331
329
328
331
333
334
337
337
337
335
335
334
334
333
333
333
333
334
335
335
335
335
337
338
335
333
333
334
331
329
329
330
331
331
331
324
324
324
331
334
334
334
335
330
331
331
333
336
339
338
339
345
346
345
343
345
343
340
335
329
327
324
321
321
322
322
323
321
323
323
323
323
325
326
328
327
328
328
332
332
334
333
336
338
339
338
338
335
341
341
338
335
335
337
335
328
326
329
332
331
332
326
