piede
40
38
35
40
16
27
12
9
12
31
22
39
40
44
39
7
19
37
31
11
9
15
1
3
22
22
44
49
53
46
25
25
19
25
8
37
40
48
53
60
65
63
58
34
40
47
50
43
48
49
47
48
50
47
47
50
47
48
52
53
54
45
40
48
41
46
39
47
23
19
23
18
24
17
44
46
58
42
39
46
34
18
35
26
42
41
39
35
30
40
34
26
23
29
31
40
38
33
40
41
34
49
30
41
42
28
26
33
24
32
22
27
50
51
47
42
46
42
35
34
23
34
33
32
31
32
32
37
42
41
46
41
35
34
39
31
48
49
61
60
60
57
32
41
43
43
41
33
19
21
11
2
7
57
41
34
18
46
36
43
31
40
31
20
32
39
44
53
63
61
61
68
69
62
57
47
51
45
39
25
21
5
15
21
22
35
31
27
31
36
36
32
29
35
26
30
27
31
29
29
20
16
23
25
24
27
29
32
32
33
33
32
31
30
29
28
31
43
53
47
41
43
44
29
25
19
18
12
8
7
22
20
22
31
34
22
32
28
41
40
38
36
