piede
11
40
49
55
53
54
63
62
72
81
79
49
41
40
69
66
63
78
60
70
56
40
29
41
49
47
47
44
53
57
40
45
42
51
64
55
54
55
91
77
65
52
55
59
61
63
63
61
57
58
59
55
65
71
69
61
59
53
57
71
75
60
89
74
53
53
51
51
42
34
45
27
42
29
33
31
25
24
23
41
41
31
23
25
23
20
16
19
20
23
22
52
64
54
73
62
102
94
67
68
71
107
88
77
67
70
62
56
50
42
44
46
42
45
46
45
60
58
57
54
51
53
59
56
60
45
48
53
51
48
27
21
15
33
42
40
21
32
38
44
45
61
66
63
67
60
59
65
54
